CODIGOAPOYO;PINTADOAPOYO;X;Y;CODIGOGEOGRAFICO
1816;1055143;1104948;1279912;67
1823;1064550;1105670;1280167;67
1827;1064576;1105681;1280100;67
1801;1055101;1105026;1279973;67
1803;1064525;1105639;1280147;67
1804;1055119;1105037;1279933;67
1805;1064533;1105669;1280153;67
2711;1068971;1105449;1280253;67
2712;1068989;1105454;1280207;67
2713;1068997;1105439;1280209;67
2714;1069004;1105493;1280214;67
2715;1069012;1105522;1280226;67
2718;1069047;1105491;1280017;67
2166;1068679;1105637;1280250;67
2169;1068687;1105597;1280236;67
2170;1068695;1105583;1280239;67
2171;1068709;1105651;1280274;67
2176;1068717;1105753;1280200;67
2181;1068741;1105718;1280400;67
2182;1068750;1105711;1280444;67
1970;1059122;1104913;1280555;67
1974;1059131;1104905;1280576;67
1981;1068270;1105255;1280547;67
1982;1059149;1104906;1280587;67
1952;1059084;1104957;1280404;67
1955;1068237;1105306;1280560;67
1957;1059092;1104976;1280505;67
2965;1069403;1105712;1280443;67
2968;1069420;1105746;1280454;67
2449;1053388;1104859;1280276;67
2450;1053396;1104829;1280265;67
2452;1053418;1104746;1280254;67
3433;1049038;1105685;1280592;67
3434;1049046;1105677;1280587;67
3435;1049054;1105669;1280642;67
3436;1049071;1105668;1280681;67
3437;1049089;1105654;1280679;67
3438;1049097;1105735;1280624;67
2145;1068601;1105752;1280267;67
2149;1068610;1105798;1280281;67
2154;1068628;1105813;1280275;67
2158;1068636;1105691;1280258;67
1561;1064274;1105109;1280297;67
1526;1052691;1105018;1280030;67
1528;1052705;1104965;1280011;67
1532;1052713;1104913;1280001;67
1536;1052721;1104837;1279994;67
1539;1052730;1104831;1279978;67
3685;1060589;1104718;1280635;67
3687;1060597;1104718;1280616;67
1882;1058941;1105058;1280318;67
3287;1060198;1105141;1280386;67
3288;1060201;1105138;1280347;67
3289;1060210;1105131;1280410;67
3290;1060228;1105125;1280460;67
3291;1060236;1105120;1280496;67
1509;1052632;1105084;1280176;67
1513;1052641;1105093;1280155;67
1517;1052659;1105103;1280091;67
1856;1068130;1105403;1280491;67
1865;1068148;1105417;1280494;67
1871;1064711;1105765;1280168;67
1834;1064592;1105711;1280065;67
2288;1059394;1104849;1279930;67
2290;1059408;1104848;1279914;67
2261;1059271;1104694;1280345;67
2262;1059289;1104673;1280341;67
2264;1059297;1104778;1280316;67
2265;1059301;1104785;1280256;67
2271;1059319;1104795;1280205;67
3292;1060244;1105110;1280552;67
3293;1060252;1105090;1280621;67
3294;1060279;1105073;1280621;67
3297;1060309;1105186;1280648;67
3299;1060317;1105083;1280689;67
2533;1059742;1104733;1280352;67
2534;1053728;1105006;1280023;67
2970;1069411;1105742;1280452;67
2276;1059335;1104830;1280072;67
2277;1059343;1104775;1280063;67
2241;1059190;1104819;1280460;67
2243;1059203;1104788;1280465;67
2244;1059211;1104746;1280458;67
2245;1059220;1104744;1280455;67
2246;1059238;1104745;1280485;67
1769;1061836;1105701;1280249;67
2522;1059751;1105072;1280427;67
1962;1059106;1104928;1280496;67
1964;1059114;1104928;1280450;67
1931;1068202;1105401;1280497;67
1719;1068121;1105415;1280433;67
3377;1052047;1105378;1280761;67
3378;1052055;1105453;1280786;67
3379;1052071;1105484;1280786;67
3383;1052128;1105096;1280714;67
2133;1068580;1105738;1280301;67
2139;1068598;1105750;1280267;67
2104;1068415;1105529;1280341;67
2106;1068431;1105604;1280320;67
2107;1068440;1105666;1280337;67
2108;1068458;1105715;1280346;67
2110;1068474;1105732;1280351;67
2112;1068482;1105788;1280360;67
1602;1064355;1105196;1280094;67
1564;1052799;1105169;1280057;67
1566;1052802;1105140;1280050;67
1949;1068229;1105399;1280574;67
1942;1059050;1105052;1280423;67
1943;1068211;1105381;1280575;67
1948;1059076;1104998;1280409;67
1912;1068199;1105293;1280464;67
1917;1059017;1105004;1280568;67
3674;1060520;1104805;1280650;67
3384;1052110;1105127;1280717;67
3385;1052098;1105204;1280732;67
3386;1052080;1105244;1280733;67
3387;1052021;1105264;1280742;67
3388;1052136;1105279;1280671;67
3389;1052101;1105169;1280728;67
2085;1068351;1105437;1280324;67
1568;1064282;1105151;1280324;67
1569;1052811;1105203;1280059;67
1570;1064291;1105154;1280298;67
1571;1067958;1105229;1280348;67
1575;1052837;1105135;1279956;67
1573;1052829;1105123;1279987;67
1574;1064304;1105161;1280303;67
1577;1067982;1105241;1280350;67
1578;1061623;1105255;1280307;67
1581;1061631;1105265;1280265;67
1546;1052748;1104839;1279959;67
1548;1061615;1105163;1280336;67
1550;1052756;1104775;1279978;67
1553;1052772;1104747;1279973;67
1555;1067931;1105204;1280347;67
18643;1249274;1105394;1280543;67
18646;1203185;1105510;1280300;67
18653;1227980;1105311;1280273;67
18654;1203193;1105482;1280291;67
18657;1203207;1105470;1280298;67
22446;1273442;1105702;1280559;67
22447;1273451;1105736;1280546;67
22448;1273477;1105737;1280543;67
22449;1273485;1105742;1280542;67
22450;1273493;1105749;1280525;67
22451;1273507;1105745;1280515;67
22452;1273515;1105748;1280514;67
22453;1273523;1105745;1280506;67
22456;1273558;1105739;1280535;67
22457;1273574;1105740;1280531;67
22458;1273582;1105740;1280517;67
22459;1273591;1105743;1280553;67
22460;1273604;1105749;1280562;67
22461;1273612;1105734;1280559;67
22463;1273639;1105780;1280556;67
22469;1273671;1105772;1280588;67
22470;1273680;1105761;1280612;67
21434;1161792;1105325;1280083;67
18843;1228358;1105346;1280281;67
18844;1228374;1105342;1280309;67
18845;1227718;1105341;1280324;67
18846;1227726;1105332;1280332;67
18847;1227734;1105348;1280344;67
18848;1227742;1105329;1280358;67
18849;1227751;1105328;1280368;67
18852;1203339;1105538;1280324;67
18853;1203347;1105566;1280324;67
18854;1203355;1105541;1280347;67
19692;1257994;1105197;1280113;67
19693;1257927;1105192;1280063;67
19694;1257935;1105195;1280053;67
19695;1257943;1105201;1280032;67
19696;1257951;1105199;1280016;67
19697;1257978;1105194;1280037;67
19698;1257986;1105211;1280004;67
19699;1257901;1105207;1280028;67
19700;1257919;1105214;1279995;67
19706;1312219;1105712;1280065;67
19707;1203614;1105733;1280265;67
19710;1203622;1105732;1280278;67
18661;1203215;1105504;1280271;67
18667;1203231;1105513;1280270;67
18670;1203223;1105534;1280259;67
18672;1203240;1105526;1280321;67
18677;1203258;1105499;1280310;67
18678;1203274;1105470;1280309;67
18679;1203282;1105544;1280310;67
18202;1203070;1105498;1280402;67
