CODIGOTRAMOBT;X1;Y1;X2;Y2;LONGITUD;ACOMETIDA
218578;473153;1556504;473167;1556511;0;S
218581;473136;1558164;473118;1558153;0;S
218584;473145;1558214;473119;1558193;0;S
218587;473148;1558366;473165;1558381;0;S
218590;473169;1558430;473168;1558475;0;S
218593;473130;1558732;473155;1558705;0;S
218596;473125;1558727;473158;1558727;0;S
218599;473166;1559418;473142;1559448;0;S
218602;473143;1559116;473127;1559142;0;S
218605;473124;1553669;473147;1553697;0;S
218608;473128;1559315;473128;1559314;0;S
218611;473130;1556422;473165;1556419;0;S
218614;473156;1556760;473166;1556767;0;S
218617;473110;1556880;473134;1556838;0;S
218620;473137;1557711;473149;1557700;0;S
218623;473171;1558364;473137;1558333;0;S
218626;473178;1558421;473133;1558420;0;S
218629;473146;1558734;473153;1558715;0;S
218632;473170;1558719;473131;1558752;0;S
218635;473139;1556197;473141;1556210;0;S
218638;473168;1556649;473171;1556632;0;S
218641;473133;1553289;473125;1553301;0;N
218644;473131;1553419;473161;1553425;0;N
218647;473092;1553569;473143;1553571;0;N
218650;473168;1556297;473125;1556278;0;S
218653;473142;1558984;473149;1558981;0;S
218656;473129;1559268;473140;1559281;0;S
218659;473134;1559337;473128;1559358;0;S
218662;473157;1553303;473154;1553338;0;N
218665;473156;1556512;473143;1556501;0;S
218668;473159;1556582;473157;1556586;0;S
218671;473148;1556639;473133;1556613;0;S
218674;473193;1557039;473140;1557032;0;S
218677;473136;1558132;473170;1558165;0;S
218680;473076;1558203;473138;1558185;0;N
218683;473154;1558618;473173;1558676;0;N
218686;473132;1558754;473144;1558769;0;S
218689;473093;1559187;473133;1559161;0;N
218692;473133;1559166;473163;1559190;0;N
218695;473133;1559233;473143;1559223;0;S
218698;473163;1559499;473156;1559478;0;S
218701;473185;1559025;473150;1559027;0;S
218704;473149;1559165;473174;1559125;0;S
218707;473178;1558780;473162;1558746;0;S
218710;473181;1556418;473173;1556430;0;N
218713;473131;1556688;473156;1556714;0;S
218716;473181;1556714;473164;1556677;0;S
218719;473142;1556770;473136;1556774;0;S
218722;473165;1557650;473160;1557614;0;S
218725;473109;1559182;473132;1559207;0;S
218728;473154;1559412;473129;1559451;0;S
218731;473208;1559513;473132;1559514;0;S
218734;473133;1559552;473173;1559623;0;N
218737;473179;1556188;473149;1556216;0;S
218740;473128;1556828;473151;1556850;0;S
218743;473164;1558731;473136;1558775;0;S
218746;473180;1558800;473130;1558788;0;S
218749;473170;1559124;473167;1559132;0;S
218752;473127;1553261;473162;1553272;0;S
218755;473130;1556262;473125;1556237;0;S
218758;473185;1556479;473141;1556458;0;N
218761;473152;1556767;473148;1556742;0;S
218764;473123;1556831;473149;1556760;0;N
218767;473156;1558434;473143;1558408;0;S
218770;473148;1558800;473131;1558821;0;S
218773;473142;1559434;473152;1559403;0;S
218776;473130;1559405;473129;1559361;0;S
218779;473099;1558665;473136;1558670;0;N
218782;473172;1556184;473150;1556206;0;S
218785;473126;1554128;473137;1554094;0;N
218788;473146;1554271;473132;1554266;0;N
218791;473176;1556412;473129;1556454;0;S
218794;473077;1557157;473179;1557172;0;N
218797;473174;1558144;473135;1558158;0;S
218800;473104;1558467;473162;1558472;0;N
218803;473119;1558510;473144;1558460;0;S
218806;473157;1558502;473140;1558479;0;S
218809;473166;1558527;473124;1558535;0;N
218812;473154;1558985;473166;1559006;0;N
218815;473168;1558788;473128;1558762;0;S
218818;473178;1553485;473142;1553471;0;S
218821;473150;1558691;473142;1558645;0;S
218824;473123;1555414;473160;1555496;0;N
218827;473127;1555433;473135;1555466;0;N
218830;473123;1556634;473133;1556663;0;S
